0.001	0.553	161.509	77.478
0.002	0.563	162.476	77.485
0.003	0.581	162.943	77.605
0.004	0.592	164.856	77.725
0.005	0.601	168.04	77.749
0.006	0.602	168.071	77.767
0.007	0.608	168.449	78.142
0.008	0.612	169.345	78.396
0.009	0.649	169.395	78.403
0.01	0.653	169.486	80.73
0.011	0.66	169.631	80.831
0.012	0.662	169.866	82.306
0.013	0.67	170.216	82.816
0.014	0.68	170.453	82.882
0.015	0.681	170.599	83.141
0.016	0.683	170.913	83.369
0.017	0.685	171.095	83.592
0.018	0.686	171.405	83.781
0.019	0.688	171.496	83.882
0.02	0.694	171.724	83.886
0.021	0.697	171.779	84.062
0.022	0.697	172.088	84.14
0.023	0.697	172.174	84.281
0.024	0.703	172.245	84.286
0.025	0.704	172.342	84.291
0.026	0.705	172.474	84.379
0.027	0.705	172.744	84.55
0.028	0.706	172.847	84.56
0.029	0.706	173.181	84.63
0.03	0.707	173.247	84.65
0.031	0.708	173.404	84.682
0.032	0.708	173.656	84.685
0.033	0.711	173.977	84.686
0.034	0.712	174.055	84.705
0.035	0.713	174.313	85.003
0.036	0.715	174.419	85.071
0.037	0.719	174.798	85.192
0.038	0.719	174.927	85.252
0.039	0.72	174.995	85.368
0.04	0.72	175.059	85.555
0.041	0.722	175.225	85.595
0.042	0.723	175.309	85.642
0.043	0.723	175.461	85.662
0.044	0.725	175.548	85.746
0.045	0.726	175.662	85.751
0.046	0.727	175.686	86.045
0.047	0.727	175.746	86.181
0.048	0.728	175.85	86.23
0.049	0.728	175.952	86.31
0.05	0.729	176.011	86.408
0.051	0.73	176.193	86.413
0.052	0.73	176.403	86.426
0.053	0.73	176.506	86.443
0.054	0.731	176.507	86.46
0.055	0.733	176.517	86.478
0.056	0.733	176.548	86.507
0.057	0.734	176.557	86.544
0.058	0.737	176.743	86.562
0.059	0.737	176.758	86.571
0.06	0.738	176.864	86.583
0.061	0.738	176.893	86.667
0.062	0.74	177.151	86.709
0.063	0.742	177.255	86.751
0.064	0.742	177.279	86.796
