0.02	0.682	175.387	87.759
0.04	0.689	178.696	88.183
0.06	0.69	181.608	88.419
0.08	0.69	185.374	88.665
0.1	0.7	187.809	89.643
0.12	0.725	189.892	89.96
0.14	0.727	191.125	91.818
0.16	0.729	199.096	92.05
0.18	0.733	199.431	92.146
0.2	0.733	200.266	92.215
0.22	0.736	203.33	92.302
0.24	0.737	203.342	92.768
0.26	0.743	204.044	92.817
0.28	0.776	204.832	92.941
0.3	0.788	205.662	93.387
0.32	0.79	206.72	94.416
0.34	0.794	207.586	94.733
0.36	0.805	209.317	96.84
0.38	0.808	209.872	100.808
0.4	0.809	211.161	102.447
0.42	0.813	211.305	102.765
0.44	0.817	211.546	103.103
0.46	0.84	213.306	103.239
0.48	0.84	213.471	103.479
0.5	0.869	213.635	103.595
0.52	0.905	214.352	103.73
0.54	0.912	214.374	103.834
0.56	0.945	216.191	104.191
0.58	0.954	216.62	105.207
0.6	0.97	216.748	105.523
0.62	0.972	217.931	106.164
0.64	0.977	218.175	107.099
0.66	0.988	218.198	107.191
0.68	0.994	218.293	107.321
0.7	0.999	218.935	107.631
0.72	1.001	219.191	108.433
0.74	1.009	219.317	108.849
0.76	1.011	220.274	109.116
0.78	1.015	220.472	109.772
0.8	1.019	220.766	109.784
0.82	1.026	220.978	109.927
0.84	1.085	222.405	110.102
0.86	1.088	223.514	111.282
0.88	1.103	224.147	111.855
0.9	1.127	225.018	112.041
0.92	1.138	225.793	112.261
0.94	1.33	225.897	115.036
0.96	2.778	226.742	116.222
0.98	3.008	228.805	117.65
1.0	12.43	237.009	121.783
