"loop free"                     4.301
"blackhole"                0.431


"Round 42"                      "Time (ms)"
"forwarding graph"       10.384
"disjoint edge"            3.772
"loop free"                     2.783
"blackhole"                0.511


"Round 43"                      "Time (ms)"
"forwarding graph"       10.373
"disjoint edge"            4.833
"loop free"                     2.655
"blackhole"                0.401


"Round 44"                      "Time (ms)"
"forwarding graph"       9.9
"disjoint edge"            4.295
"loop free"                     2.657
"blackhole"                0.514


"Round 45"                      "Time (ms)"
"forwarding graph"       2.515
"disjoint edge"            4.109
"loop free"                     2.469
"blackhole"                0.495


"Round 46"                      "Time (ms)"
"forwarding graph"       9.343
"disjoint edge"            3.936
"loop free"                     4.764
"blackhole"                5.533


"Round 47"                      "Time (ms)"
"forwarding graph"       10.271
"disjoint edge"            4.4
"loop free"                     2.561
"blackhole"                0.425


"Round 48"                      "Time (ms)"
"forwarding graph"       9.941
"disjoint edge"            3.621
"loop free"                     2.366
"blackhole"                0.384


"Round 49"                      "Time (ms)"
"forwarding graph"       10.098
"disjoint edge"            4.338
"loop free"                     2.745
"blackhole"                0.437


"Round 50"                      "Time (ms)"
"forwarding graph"       10.43
"disjoint edge"            4.171
"loop free"                     2.66
"blackhole"                0.442


"Round 51"                      "Time (ms)"
"forwarding graph"       10.535
"disjoint edge"            4.168
"loop free"                     3.042
"blackhole"                0.646


"Round 52"                      "Time (ms)"
"forwarding graph"       9.94
"disjoint edge"            3.345
"loop free"                     2.509
"blackhole"                0.338


"Round 53"                      "Time (ms)"
"forwarding graph"       10.706
"disjoint edge"            4.209
"loop free"                     2.586
"blackhole"                0.407


"Round 54"                      "Time (ms)"
"forwarding graph"       10.087
"disjoint edge"            4.207
"loop free"                     2.681
"blackhole"                0.421


"Round 55"                      "Time (ms)"
"forwarding graph"       9.379
"disjoint edge"            5.437
"loop free"                     3.992
"blackhole"                0.442


"Round 56"                      "Time (ms)"
"forwarding graph"       9.986
"disjoint edge"            4.138
"loop free"                     2.557
"blackhole"                0.409


"Round 57"                      "Time (ms)"
"forwarding graph"       9.957
"disjoint edge"            3.78
"loop free"                     2.489
"blackhole"                0.366


"Round 58"                      "Time (ms)"
"forwarding graph"       8.389
"disjoint edge"            2.294
"loop free"                     1.748
"blackhole"                0.452


"Round 59"                      "Time (ms)"
"forwarding graph"       10.819
"disjoint edge"            6.541
"loop free"                     4.383
"blackhole"                1.427


"Round 60"                      "Time (ms)"
"forwarding graph"       10.543
"disjoint edge"            3.884
"loop free"                     2.611
"blackhole"                0.383


"Round 61"                      "Time (ms)"
"forwarding graph"       10.354
"disjoint edge"            3.814
"loop free"                     2.459
"blackhole"                0.404


"Round 62"                      "Time (ms)"
"forwarding graph"       10.034
"disjoint edge"            3.238
"loop free"                     2.943
"blackhole"                0.445


"Round 63"                      "Time (ms)"
"forwarding graph"       9.202
"disjoint edge"            3.371
"loop free"                     2.465
"blackhole"                0.413


"Round 64"                      "Time (ms)"
"forwarding graph"       10.368
"disjoint edge"            3.987
"loop free"                     2.648
"blackhole"                0.36


"Round 65"                      "Time (ms)"
"forwarding graph"       9.877
"disjoint edge"            4.468
"loop free"                     2.748
"blackhole"                0.476


"Round 66"                      "Time (ms)"
"forwarding graph"       10.562
"disjoint edge"            4.472
"loop free"                     2.808
"blackhole"                0.42


"Round 67"                      "Time (ms)"
"forwarding graph"       10.356
"disjoint edge"            4.034
"loop free"                     2.728
"blackhole"                0.411


"Round 68"                      "Time (ms)"
"forwarding graph"       11.231
"disjoint edge"            4.443
"loop free"                     2.79
"blackhole"                0.427


"Round 69"                      "Time (ms)"
"forwarding graph"       9.279
"disjoint edge"            5.838
"loop free"                     4.172
"blackhole"                0.554


"Round 70"                      "Time (ms)"
"forwarding graph"       10.469
"disjoint edge"            4.38
"loop free"                     2.87
"blackhole"                0.599


"Round 71"                      "Time (ms)"
"forwarding graph"       9.333
"disjoint edge"            2.977
"loop free"                     2.462
"blackhole"                0.387


"Round 72"                      "Time (ms)"
"forwarding graph"       10.392
"disjoint edge"            4.071
"loop free"                     2.671
"blackhole"                0.464


"Round 73"                      "Time (ms)"
"forwarding graph"       9.656
"disjoint edge"            3.733
"loop free"                     2.545
"blackhole"                0.629


"Round 74"                      "Time (ms)"
"forwarding graph"       9.878
"disjoint edge"            3.919
"loop free"                     2.624
"blackhole"                0.402


"Round 75"                      "Time (ms)"
"forwarding graph"       10.05
"disjoint edge"            4.138
"loop free"                     2.746
"blackhole"                0.411


"Round 76"                      "Time (ms)"
"forwarding graph"       9.821
"disjoint edge"            3.915
"loop free"                     2.779
"blackhole"                0.443


"Round 77"                      "Time (ms)"
"forwarding graph"       10.288
"disjoint edge"            4.281
"loop free"                     2.679
"blackhole"                0.408


"Round 78"                      "Time (ms)"
"forwarding graph"       9.964
"disjoint edge"            5.264
"loop free"                     3.425
"blackhole"                0.425


"Round 79"                      "Time (ms)"
"forwarding graph"       2.723
"disjoint edge"            7.577
"loop free"                     3.757
"blackhole"                0.465


"Round 80"                      "Time (ms)"
"forwarding graph"       10.018
"disjoint edge"            3.202
"loop free"                     2.555
"blackhole"                0.405


"Round 81"                      "Time (ms)"
"forwarding graph"       9.5
"disjoint edge"            3.314
"loop free"                     2.494
"blackhole"                0.392


"Round 82"                      "Time (ms)"
"forwarding graph"       10.588
"disjoint edge"            4.423
"loop free"                     2.804
"blackhole"                0.432


"Round 83"                      "Time (ms)"
"forwarding graph"       9.63
"disjoint edge"            3.75
"loop free"                     2.656
"blackhole"                0.354


"Round 84"                      "Time (ms)"
"forwarding graph"       1.579
"disjoint edge"            13.622
"loop free"                     2.726
"blackhole"                0.394


"Round 85"                      "Time (ms)"
"forwarding graph"       9.654
"disjoint edge"            5.448
"loop free"                     3.326
"blackhole"                0.591


"Round 86"                      "Time (ms)"
"forwarding graph"       9.804
"disjoint edge"            3.529
"loop free"                     2.401
"blackhole"                0.414


"Round 87"                      "Time (ms)"
"forwarding graph"       9.795
"disjoint edge"            4.571
"loop free"                     4.252
"blackhole"                1.427


"Round 88"                      "Time (ms)"
"forwarding graph"       9.66
"disjoint edge"            3.513
"loop free"                     2.587
"blackhole"                0.461


"Round 89"                      "Time (ms)"
"forwarding graph"       9.989
"disjoint edge"            3.273
"loop free"                     2.723
"blackhole"                0.364


"Round 90"                      "Time (ms)"
"forwarding graph"       9.367
"disjoint edge"            1.978
"loop free"                     2.541
"blackhole"                0.418


"Round 91"                      "Time (ms)"
"forwarding graph"       9.364
"disjoint edge"            2.896
"loop free"                     2.528
"blackhole"                0.363


"Round 92"                      "Time (ms)"
"forwarding graph"       9.902
"disjoint edge"            5.682
"loop free"                     5.33
"blackhole"                0.696


"Round 93"                      "Time (ms)"
"forwarding graph"       10.318
"disjoint edge"            3.192
"loop free"                     2.59
"blackhole"                0.711


"Round 94"                      "Time (ms)"
"forwarding graph"       10.46
"disjoint edge"            3.937
"loop free"                     2.986
"blackhole"                0.45


"Round 95"                      "Time (ms)"
"forwarding graph"       10.033
"disjoint edge"            3.404
"loop free"                     2.659
"blackhole"                0.404


"Round 96"                      "Time (ms)"
"forwarding graph"       10.031
"disjoint edge"            4.3
"loop free"                     2.702
"blackhole"                0.393


"Round 97"                      "Time (ms)"
"forwarding graph"       9.6
"disjoint edge"            3.558
"loop free"                     2.653
"blackhole"                0.366


"Round 98"                      "Time (ms)"
"forwarding graph"       9.532
"disjoint edge"            3.135
"loop free"                     2.499
"blackhole"                0.371


"Round 99"                      "Time (ms)"
"forwarding graph"       9.835
"disjoint edge"            4.112
"loop free"                     2.438
"blackhole"                0.39


"Round 100"                      "Time (ms)"
"forwarding graph"       9.338
"disjoint edge"            4.826
"loop free"                     3.152
"blackhole"                0.432


"Round 101"                      "Time (ms)"
"forwarding graph"       10.32
"disjoint edge"            3.95
"loop free"                     2.578
"blackhole"                0.383


"Round 102"                      "Time (ms)"
"forwarding graph"       81.106
"disjoint edge"            5.376
"loop free"                     2.435
"blackhole"                0.619


"Round 103"                      "Time (ms)"
"forwarding graph"       9.957
"disjoint edge"            4.273
"loop free"                     3.289
"blackhole"                0.476


"Round 104"                      "Time (ms)"
"forwarding graph"       10.536
"disjoint edge"            4.406
"loop free"                     2.676
"blackhole"                0.389


"Round 105"                      "Time (ms)"
"forwarding graph"       9.856
"disjoint edge"            3.599
"loop free"                     2.579
"blackhole"                0.392


"Round 106"                      "Time (ms)"
"forwarding graph"       9.976
"disjoint edge"            5.074
"loop free"                     2.732
"blackhole"                0.424


"Round 107"                      "Time (ms)"
