"Round 0"                      "Time (ms)"
"forwarding graph"       9.108
"disjoint edge"            1.887
"loop free"                     0.814
"blackhole"                0.837


"Round 1"                      "Time (ms)"
"forwarding graph"       1.125
"disjoint edge"            1.768
"loop free"                     0.829
"blackhole"                0.46


"Round 2"                      "Time (ms)"
"forwarding graph"       9.033
"disjoint edge"            3.044
"loop free"                     0.829
"blackhole"                0.379


"Round 3"                      "Time (ms)"
"forwarding graph"       9.589
"disjoint edge"            2.448
"loop free"                     0.938
"blackhole"                0.309


"Round 4"                      "Time (ms)"
"forwarding graph"       9.061
"disjoint edge"            3.11
"loop free"                     1.219
"blackhole"                0.465


"Round 5"                      "Time (ms)"
"forwarding graph"       9.376
"disjoint edge"            2.462
"loop free"                     1.191
"blackhole"                0.654


"Round 6"                      "Time (ms)"
"forwarding graph"       8.573
"disjoint edge"            2.098
"loop free"                     0.757
"blackhole"                0.358


"Round 7"                      "Time (ms)"
"forwarding graph"       9.012
"disjoint edge"            2.562
"loop free"                     0.795
"blackhole"                0.446


"Round 8"                      "Time (ms)"
"forwarding graph"       1.493
"disjoint edge"            1.8
"loop free"                     0.736
"blackhole"                0.36


"Round 9"                      "Time (ms)"
"forwarding graph"       8.908
"disjoint edge"            2.199
"loop free"                     0.801
"blackhole"                0.359


"Round 10"                      "Time (ms)"
"forwarding graph"       9.488
"disjoint edge"            2.365
"loop free"                     0.832
"blackhole"                0.321


"Round 11"                      "Time (ms)"
"forwarding graph"       8.816
"disjoint edge"            1.935
"loop free"                     0.781
"blackhole"                0.35


"Round 12"                      "Time (ms)"
"forwarding graph"       8.654
"disjoint edge"            1.395
"loop free"                     0.71
"blackhole"                0.346


"Round 13"                      "Time (ms)"
"forwarding graph"       9.467
"disjoint edge"            2.779
"loop free"                     0.741
"blackhole"                0.306


"Round 14"                      "Time (ms)"
"forwarding graph"       1.496
"disjoint edge"            1.29
"loop free"                     0.638
"blackhole"                0.335


"Round 15"                      "Time (ms)"
"forwarding graph"       9.713
"disjoint edge"            2.556
"loop free"                     1.162
"blackhole"                0.544


"Round 16"                      "Time (ms)"
"forwarding graph"       8.847
"disjoint edge"            2.651
"loop free"                     1.172
"blackhole"                0.355


"Round 17"                      "Time (ms)"
"forwarding graph"       8.527
"disjoint edge"            2.068
"loop free"                     0.42
"blackhole"                0.345


"Round 18"                      "Time (ms)"
"forwarding graph"       9.638
"disjoint edge"            2.147
"loop free"                     0.772
"blackhole"                0.302


"Round 19"                      "Time (ms)"
"forwarding graph"       8.545
"disjoint edge"            1.786
"loop free"                     0.741
"blackhole"                0.33


"Round 20"                      "Time (ms)"
"forwarding graph"       9.034
"disjoint edge"            1.794
"loop free"                     0.761
"blackhole"                0.329


"Round 21"                      "Time (ms)"
"forwarding graph"       8.709
"disjoint edge"            1.806
"loop free"                     0.735
"blackhole"                0.325


"Round 22"                      "Time (ms)"
"forwarding graph"       9.038
"disjoint edge"            2.596
"loop free"                     0.755
"blackhole"                0.344


"Round 23"                      "Time (ms)"
"forwarding graph"       8.972
"disjoint edge"            1.912
"loop free"                     1.016
"blackhole"                0.315


"Round 24"                      "Time (ms)"
"forwarding graph"       9.426
"disjoint edge"            2.483
"loop free"                     1.159
"blackhole"                0.537


"Round 25"                      "Time (ms)"
"forwarding graph"       9.079
"disjoint edge"            2.588
"loop free"                     1.298
"blackhole"                0.547


"Round 26"                      "Time (ms)"
"forwarding graph"       9.131
"disjoint edge"            2.849
"loop free"                     0.848
"blackhole"                0.365


"Round 27"                      "Time (ms)"
"forwarding graph"       9.351
"disjoint edge"            2.259
"loop free"                     1.336
"blackhole"                0.344


"Round 28"                      "Time (ms)"
"forwarding graph"       9.028
"disjoint edge"            2.572
"loop free"                     1.24
"blackhole"                0.53


"Round 29"                      "Time (ms)"
"forwarding graph"       8.809
"disjoint edge"            1.543
"loop free"                     0.67
"blackhole"                0.326


"Round 30"                      "Time (ms)"
"forwarding graph"       8.986
"disjoint edge"            2.398
"loop free"                     0.757
"blackhole"                0.305


"Round 31"                      "Time (ms)"
"forwarding graph"       8.547
"disjoint edge"            2.229
"loop free"                     0.786
"blackhole"                0.374


"Round 32"                      "Time (ms)"
"forwarding graph"       9.062
"disjoint edge"            1.351
"loop free"                     0.726
"blackhole"                0.364


"Round 33"                      "Time (ms)"
"forwarding graph"       9.056
"disjoint edge"            2.162
"loop free"                     0.753
"blackhole"                0.337


"Round 34"                      "Time (ms)"
"forwarding graph"       1.069
"disjoint edge"            9.02
"loop free"                     0.827
"blackhole"                0.307


"Round 35"                      "Time (ms)"
"forwarding graph"       9.452
"disjoint edge"            2.216
"loop free"                     0.803
"blackhole"                0.322


"Round 36"                      "Time (ms)"
"forwarding graph"       9.807
"disjoint edge"            2.847
"loop free"                     0.793
"blackhole"                0.363


"Round 37"                      "Time (ms)"
"forwarding graph"       9.31
"disjoint edge"            2.52
"loop free"                     1.094
"blackhole"                0.325


"Round 38"                      "Time (ms)"
"forwarding graph"       8.885
"disjoint edge"            2.739
"loop free"                     1.082
"blackhole"                0.487


"Round 39"                      "Time (ms)"
"forwarding graph"       9.06
"disjoint edge"            2.27
"loop free"                     1.31
"blackhole"                0.337


"Round 40"                      "Time (ms)"
"forwarding graph"       9.146
"disjoint edge"            1.834
"loop free"                     0.792
"blackhole"                0.338


"Round 41"                      "Time (ms)"
"forwarding graph"       9.479
"disjoint edge"            2.567
"loop free"                     1.032
"blackhole"                0.376


"Round 42"                      "Time (ms)"
"forwarding graph"       8.934
"disjoint edge"            2.326
"loop free"                     1.09
"blackhole"                0.529


"Round 43"                      "Time (ms)"
"forwarding graph"       8.952
"disjoint edge"            3.064
"loop free"                     0.75
"blackhole"                0.345


"Round 44"                      "Time (ms)"
"forwarding graph"       9.025
"disjoint edge"            2.92
"loop free"                     1.189
"blackhole"                0.563


"Round 45"                      "Time (ms)"
"forwarding graph"       8.966
"disjoint edge"            2.005
"loop free"                     0.782
"blackhole"                0.354


"Round 46"                      "Time (ms)"
"forwarding graph"       8.291
"disjoint edge"            1.851
"loop free"                     0.464
"blackhole"                0.406


"Round 47"                      "Time (ms)"
"forwarding graph"       8.859
"disjoint edge"            1.837
"loop free"                     0.387
"blackhole"                0.309


"Round 48"                      "Time (ms)"
"forwarding graph"       9.102
"disjoint edge"            2.035
"loop free"                     0.711
"blackhole"                0.29


"Round 49"                      "Time (ms)"
"forwarding graph"       9.457
"disjoint edge"            2.663
"loop free"                     1.27
"blackhole"                0.518


"Round 50"                      "Time (ms)"
"forwarding graph"       9.021
"disjoint edge"            2.639
"loop free"                     0.775
"blackhole"                0.371


"Round 51"                      "Time (ms)"
"forwarding graph"       9.072
"disjoint edge"            2.857
"loop free"                     0.798
"blackhole"                0.308


"Round 52"                      "Time (ms)"
"forwarding graph"       9.115
"disjoint edge"            1.645
"loop free"                     0.745
"blackhole"                0.412


"Round 53"                      "Time (ms)"
"forwarding graph"       9.476
"disjoint edge"            2.62
"loop free"                     0.815
"blackhole"                0.303


"Round 54"                      "Time (ms)"
"forwarding graph"       8.918
"disjoint edge"            2.401
"loop free"                     1.119
"blackhole"                0.47


"Round 55"                      "Time (ms)"
"forwarding graph"       9.165
"disjoint edge"            3.829
"loop free"                     1.224
"blackhole"                0.371


"Round 56"                      "Time (ms)"
"forwarding graph"       8.945
"disjoint edge"            1.627
"loop free"                     0.74
"blackhole"                0.363


"Round 57"                      "Time (ms)"
"forwarding graph"       8.971
"disjoint edge"            2.629
"loop free"                     1.033
"blackhole"                0.329


"Round 58"                      "Time (ms)"
"forwarding graph"       9.462
"disjoint edge"            2.968
"loop free"                     1.016
"blackhole"                0.364


"Round 59"                      "Time (ms)"
"forwarding graph"       9.417
"disjoint edge"            1.844
"loop free"                     1.172
"blackhole"                0.541


"Round 60"                      "Time (ms)"
"forwarding graph"       9.999
"disjoint edge"            2.155
"loop free"                     0.779
"blackhole"                0.301


"Round 61"                      "Time (ms)"
"forwarding graph"       8.971
"disjoint edge"            2.348
"loop free"                     0.835
"blackhole"                0.299


"Round 62"                      "Time (ms)"
"forwarding graph"       9.057
"disjoint edge"            2.646
"loop free"                     1.148
"blackhole"                0.529


"Round 63"                      "Time (ms)"
"forwarding graph"       9.062
"disjoint edge"            2.171
"loop free"                     0.723
"blackhole"                0.316


"Round 64"                      "Time (ms)"
"forwarding graph"       9.137
"disjoint edge"            2.376
"loop free"                     0.907
"blackhole"                0.421


"Round 65"                      "Time (ms)"
"forwarding graph"       8.789
"disjoint edge"            2.297
"loop free"                     0.766
"blackhole"                0.362


"Round 66"                      "Time (ms)"
"forwarding graph"       9.637
"disjoint edge"            2.612
"loop free"                     0.798
"blackhole"                0.302


"Round 67"                      "Time (ms)"
"forwarding graph"       8.683
"disjoint edge"            1.342
"loop free"                     0.72
"blackhole"                0.342


"Round 68"                      "Time (ms)"
"forwarding graph"       8.767
"disjoint edge"            2.089
"loop free"                     0.577
"blackhole"                0.282


"Round 69"                      "Time (ms)"
