"Round 0"                      "Time (ms)"
"forwarding graph"       11.434
"disjoint edge"            3.673
"loop free"                     0.962
"blackhole"                0.875


"Round 1"                      "Time (ms)"
"forwarding graph"       10.022
"disjoint edge"            3.329
"loop free"                     0.925
"blackhole"                0.474


"Round 2"                      "Time (ms)"
"forwarding graph"       2.023
"disjoint edge"            2.398
"loop free"                     0.882
"blackhole"                0.376


"Round 3"                      "Time (ms)"
"forwarding graph"       9.884
"disjoint edge"            2.638
"loop free"                     0.99
"blackhole"                0.592


"Round 4"                      "Time (ms)"
"forwarding graph"       9.142
"disjoint edge"            2.528
"loop free"                     0.894
"blackhole"                0.334


"Round 5"                      "Time (ms)"
"forwarding graph"       10.246
"disjoint edge"            4.214
"loop free"                     1.333
"blackhole"                0.392


"Round 6"                      "Time (ms)"
"forwarding graph"       10.772
"disjoint edge"            2.483
"loop free"                     1.082
"blackhole"                0.471


"Round 7"                      "Time (ms)"
"forwarding graph"       10.915
"disjoint edge"            4.461
"loop free"                     1.225
"blackhole"                0.375


"Round 8"                      "Time (ms)"
"forwarding graph"       2.343
"disjoint edge"            2.616
"loop free"                     0.906
"blackhole"                0.39


"Round 9"                      "Time (ms)"
"forwarding graph"       9.88
"disjoint edge"            3.462
"loop free"                     1.157
"blackhole"                0.344


"Round 10"                      "Time (ms)"
"forwarding graph"       9.323
"disjoint edge"            2.474
"loop free"                     0.945
"blackhole"                0.34


"Round 11"                      "Time (ms)"
"forwarding graph"       9.647
"disjoint edge"            3.452
"loop free"                     1.054
"blackhole"                0.383


"Round 12"                      "Time (ms)"
"forwarding graph"       9.43
"disjoint edge"            4.434
"loop free"                     0.894
"blackhole"                0.322


"Round 13"                      "Time (ms)"
"forwarding graph"       9.686
"disjoint edge"            2.473
"loop free"                     0.815
"blackhole"                0.298


"Round 14"                      "Time (ms)"
"forwarding graph"       10.22
"disjoint edge"            2.609
"loop free"                     0.883
"blackhole"                0.344


"Round 15"                      "Time (ms)"
"forwarding graph"       9.575
"disjoint edge"            4.173
"loop free"                     0.851
"blackhole"                0.355


"Round 16"                      "Time (ms)"
"forwarding graph"       1.909
"disjoint edge"            3.091
"loop free"                     0.923
"blackhole"                0.299


"Round 17"                      "Time (ms)"
"forwarding graph"       9.775
"disjoint edge"            3.819
"loop free"                     1.249
"blackhole"                0.5


"Round 18"                      "Time (ms)"
"forwarding graph"       9.283
"disjoint edge"            3.029
"loop free"                     1.249
"blackhole"                0.426


"Round 19"                      "Time (ms)"
"forwarding graph"       9.817
"disjoint edge"            3.522
"loop free"                     0.895
"blackhole"                0.313


"Round 20"                      "Time (ms)"
"forwarding graph"       9.184
"disjoint edge"            2.522
"loop free"                     0.998
"blackhole"                0.358


"Round 21"                      "Time (ms)"
"forwarding graph"       9.052
"disjoint edge"            2.096
"loop free"                     0.847
"blackhole"                0.341


"Round 22"                      "Time (ms)"
"forwarding graph"       10.223
"disjoint edge"            3.634
"loop free"                     0.994
"blackhole"                0.378


"Round 23"                      "Time (ms)"
"forwarding graph"       9.586
"disjoint edge"            3.615
"loop free"                     0.902
"blackhole"                0.364


"Round 24"                      "Time (ms)"
"forwarding graph"       9.236
"disjoint edge"            3.842
"loop free"                     0.858
"blackhole"                0.377


"Round 25"                      "Time (ms)"
"forwarding graph"       9.543
"disjoint edge"            2.884
"loop free"                     0.869
"blackhole"                0.367


"Round 26"                      "Time (ms)"
"forwarding graph"       9.981
"disjoint edge"            3.898
"loop free"                     1.319
"blackhole"                0.372


"Round 27"                      "Time (ms)"
"forwarding graph"       9.349
"disjoint edge"            2.578
"loop free"                     0.914
"blackhole"                0.299


"Round 28"                      "Time (ms)"
"forwarding graph"       9.744
"disjoint edge"            3.156
"loop free"                     0.835
"blackhole"                0.376


"Round 29"                      "Time (ms)"
"forwarding graph"       9.957
"disjoint edge"            2.954
"loop free"                     1.419
"blackhole"                0.372


"Round 30"                      "Time (ms)"
"forwarding graph"       9.248
"disjoint edge"            3.147
"loop free"                     0.946
"blackhole"                0.316


"Round 31"                      "Time (ms)"
"forwarding graph"       10.731
"disjoint edge"            3.081
"loop free"                     1.52
"blackhole"                0.549


"Round 32"                      "Time (ms)"
"forwarding graph"       9.315
"disjoint edge"            2.21
"loop free"                     0.878
"blackhole"                0.39


"Round 33"                      "Time (ms)"
"forwarding graph"       9.127
"disjoint edge"            3.403
"loop free"                     0.912
"blackhole"                0.365


"Round 34"                      "Time (ms)"
"forwarding graph"       9.116
"disjoint edge"            2.402
"loop free"                     0.879
"blackhole"                0.385


"Round 35"                      "Time (ms)"
"forwarding graph"       10.578
"disjoint edge"            3.046
"loop free"                     1.007
"blackhole"                0.394


"Round 36"                      "Time (ms)"
"forwarding graph"       10.845
"disjoint edge"            3.204
"loop free"                     1.426
"blackhole"                0.477


"Round 37"                      "Time (ms)"
"forwarding graph"       8.951
"disjoint edge"            1.792
"loop free"                     0.889
"blackhole"                0.377


"Round 38"                      "Time (ms)"
"forwarding graph"       9.143
"disjoint edge"            3.479
"loop free"                     0.923
"blackhole"                0.358


"Round 39"                      "Time (ms)"
"forwarding graph"       9.57
"disjoint edge"            2.999
"loop free"                     1.427
"blackhole"                0.44


"Round 40"                      "Time (ms)"
"forwarding graph"       10.38
"disjoint edge"            3.336
"loop free"                     1.376
"blackhole"                0.378


"Round 41"                      "Time (ms)"
"forwarding graph"       9.14
"disjoint edge"            4.092
"loop free"                     1.256
"blackhole"                0.325


"Round 42"                      "Time (ms)"
"forwarding graph"       9.252
"disjoint edge"            2.773
"loop free"                     0.866
"blackhole"                0.296


"Round 43"                      "Time (ms)"
"forwarding graph"       10.388
"disjoint edge"            3.864
"loop free"                     1.883
"blackhole"                1.289


"Round 44"                      "Time (ms)"
"forwarding graph"       9.142
"disjoint edge"            1.879
"loop free"                     0.902
"blackhole"                0.318


"Round 45"                      "Time (ms)"
"forwarding graph"       9.36
"disjoint edge"            4.192
"loop free"                     0.795
"blackhole"                0.338


"Round 46"                      "Time (ms)"
"forwarding graph"       1.831
