"loop free"                     1.159
"blackhole"                0.3


"Round 42"                      "Time (ms)"
"forwarding graph"       0.658
"disjoint edge"            1.616
"loop free"                     1.165
"blackhole"                0.304


"Round 43"                      "Time (ms)"
"forwarding graph"       0.639
"disjoint edge"            1.621
"loop free"                     1.172
"blackhole"                0.405


"Round 44"                      "Time (ms)"
"forwarding graph"       1.373
"disjoint edge"            2.717
"loop free"                     1.8
"blackhole"                0.437


"Round 45"                      "Time (ms)"
"forwarding graph"       0.779
"disjoint edge"            1.826
"loop free"                     1.177
"blackhole"                0.315


"Round 46"                      "Time (ms)"
"forwarding graph"       0.646
"disjoint edge"            1.612
"loop free"                     1.271
"blackhole"                0.319


"Round 47"                      "Time (ms)"
"forwarding graph"       0.648
"disjoint edge"            1.614
"loop free"                     1.195
"blackhole"                0.503


"Round 48"                      "Time (ms)"
"forwarding graph"       0.918
"disjoint edge"            2.167
"loop free"                     1.492
"blackhole"                0.342


"Round 49"                      "Time (ms)"
"forwarding graph"       0.727
"disjoint edge"            2.545
"loop free"                     2.191
"blackhole"                0.393


"Round 50"                      "Time (ms)"
"forwarding graph"       0.655
"disjoint edge"            1.629
"loop free"                     1.185
"blackhole"                0.298


"Round 51"                      "Time (ms)"
"forwarding graph"       0.65
"disjoint edge"            1.707
"loop free"                     1.185
"blackhole"                0.303


"Round 52"                      "Time (ms)"
"forwarding graph"       0.636
"disjoint edge"            3.038
"loop free"                     1.83
"blackhole"                0.432


"Round 53"                      "Time (ms)"
"forwarding graph"       1.144
"disjoint edge"            1.717
"loop free"                     1.181
"blackhole"                0.315


"Round 54"                      "Time (ms)"
"forwarding graph"       0.645
"disjoint edge"            2.075
"loop free"                     1.596
"blackhole"                0.502


"Round 55"                      "Time (ms)"
"forwarding graph"       0.812
"disjoint edge"            1.842
"loop free"                     1.522
"blackhole"                0.363


"Round 56"                      "Time (ms)"
"forwarding graph"       0.655
"disjoint edge"            1.905
"loop free"                     1.207
"blackhole"                0.322


"Round 57"                      "Time (ms)"
"forwarding graph"       0.643
"disjoint edge"            1.619
"loop free"                     1.546
"blackhole"                0.699


"Round 58"                      "Time (ms)"
"forwarding graph"       0.855
"disjoint edge"            1.735
"loop free"                     1.254
"blackhole"                0.329


"Round 59"                      "Time (ms)"
"forwarding graph"       0.642
"disjoint edge"            1.623
"loop free"                     1.175
"blackhole"                0.301


"Round 60"                      "Time (ms)"
"forwarding graph"       0.643
"disjoint edge"            2.672
"loop free"                     1.564
"blackhole"                0.39


"Round 61"                      "Time (ms)"
"forwarding graph"       0.701
"disjoint edge"            1.554
"loop free"                     1.309
"blackhole"                0.333


"Round 62"                      "Time (ms)"
"forwarding graph"       0.639
"disjoint edge"            1.667
"loop free"                     1.198
"blackhole"                0.311


"Round 63"                      "Time (ms)"
"forwarding graph"       0.688
"disjoint edge"            1.61
"loop free"                     1.182
"blackhole"                0.554


"Round 64"                      "Time (ms)"
"forwarding graph"       0.669
"disjoint edge"            1.617
"loop free"                     1.168
"blackhole"                0.364


"Round 65"                      "Time (ms)"
"forwarding graph"       0.849
"disjoint edge"            2.169
"loop free"                     1.733
"blackhole"                0.484


"Round 66"                      "Time (ms)"
"forwarding graph"       0.702
"disjoint edge"            2.234
"loop free"                     1.211
"blackhole"                0.343


"Round 67"                      "Time (ms)"
"forwarding graph"       0.651
"disjoint edge"            1.64
"loop free"                     1.16
"blackhole"                0.301


"Round 68"                      "Time (ms)"
"forwarding graph"       0.641
"disjoint edge"            1.626
"loop free"                     1.173
"blackhole"                0.299


"Round 69"                      "Time (ms)"
"forwarding graph"       0.643
"disjoint edge"            2.616
"loop free"                     2.361
"blackhole"                0.531


"Round 70"                      "Time (ms)"
"forwarding graph"       1.132
"disjoint edge"            2.511
"loop free"                     1.209
"blackhole"                0.318


"Round 71"                      "Time (ms)"
"forwarding graph"       0.651
"disjoint edge"            1.72
"loop free"                     1.392
"blackhole"                0.844


"Round 72"                      "Time (ms)"
"forwarding graph"       1.81
"disjoint edge"            6.944
"loop free"                     1.835
"blackhole"                1.166


"Round 73"                      "Time (ms)"
"forwarding graph"       1.321
"disjoint edge"            3.067
"loop free"                     1.359
"blackhole"                0.597


"Round 74"                      "Time (ms)"
"forwarding graph"       1.166
"disjoint edge"            2.239
"loop free"                     1.259
"blackhole"                0.559


"Round 75"                      "Time (ms)"
"forwarding graph"       2.083
"disjoint edge"            4.173
"loop free"                     1.383
"blackhole"                0.337


"Round 76"                      "Time (ms)"
"forwarding graph"       0.74
"disjoint edge"            3.262
"loop free"                     1.305
"blackhole"                0.341


"Round 77"                      "Time (ms)"
"forwarding graph"       0.732
"disjoint edge"            1.637
"loop free"                     1.165
"blackhole"                0.301


"Round 78"                      "Time (ms)"
"forwarding graph"       1.035
"disjoint edge"            2.227
"loop free"                     1.515
"blackhole"                0.71


"Round 79"                      "Time (ms)"
"forwarding graph"       0.833
"disjoint edge"            1.771
"loop free"                     1.198
"blackhole"                0.321


"Round 80"                      "Time (ms)"
"forwarding graph"       0.646
"disjoint edge"            1.636
"loop free"                     1.158
"blackhole"                0.298


"Round 81"                      "Time (ms)"
"forwarding graph"       0.701
"disjoint edge"            1.616
"loop free"                     1.171
"blackhole"                0.3


"Round 82"                      "Time (ms)"
"forwarding graph"       0.835
"disjoint edge"            1.927
"loop free"                     2.884
"blackhole"                0.577


"Round 83"                      "Time (ms)"
"forwarding graph"       1.139
"disjoint edge"            2.249
"loop free"                     1.202
"blackhole"                0.335


"Round 84"                      "Time (ms)"
"forwarding graph"       0.702
"disjoint edge"            1.653
"loop free"                     1.652
"blackhole"                0.568


"Round 85"                      "Time (ms)"
"forwarding graph"       0.871
"disjoint edge"            2.399
"loop free"                     1.508
"blackhole"                0.597


"Round 86"                      "Time (ms)"
"forwarding graph"       0.71
"disjoint edge"            1.729
"loop free"                     1.319
"blackhole"                0.307


"Round 87"                      "Time (ms)"
"forwarding graph"       0.694
"disjoint edge"            1.648
"loop free"                     1.179
"blackhole"                0.308


"Round 88"                      "Time (ms)"
"forwarding graph"       0.646
"disjoint edge"            1.62
"loop free"                     1.177
"blackhole"                0.292


"Round 89"                      "Time (ms)"
"forwarding graph"       0.648
"disjoint edge"            1.585
"loop free"                     1.124
"blackhole"                0.306


"Round 90"                      "Time (ms)"
"forwarding graph"       0.651
"disjoint edge"            1.643
"loop free"                     1.317
"blackhole"                0.655


"Round 91"                      "Time (ms)"
"forwarding graph"       1.39
"disjoint edge"            2.796
"loop free"                     1.178
"blackhole"                0.381


"Round 92"                      "Time (ms)"
"forwarding graph"       0.642
"disjoint edge"            1.611
"loop free"                     1.173
"blackhole"                0.445


"Round 93"                      "Time (ms)"
"forwarding graph"       1.364
"disjoint edge"            1.836
"loop free"                     1.176
"blackhole"                0.32


"Round 94"                      "Time (ms)"
"forwarding graph"       0.721
"disjoint edge"            1.747
"loop free"                     1.194
"blackhole"                0.418


"Round 95"                      "Time (ms)"
