"Round 0"                      "Time (ms)"
"forwarding graph"       9.398
"disjoint edge"            4.529
"loop freedom"                     1.431
"blackhole"                0.836


"Round 1"                      "Time (ms)"
"forwarding graph"       0.686
"disjoint edge"            1.692
"loop freedom"                     1.213
"blackhole"                0.319


"Round 2"                      "Time (ms)"
"forwarding graph"       0.683
"disjoint edge"            1.661
"loop freedom"                     1.198
"blackhole"                0.635


"Round 3"                      "Time (ms)"
"forwarding graph"       0.891
"disjoint edge"            1.761
"loop freedom"                     1.212
"blackhole"                0.334


"Round 4"                      "Time (ms)"
"forwarding graph"       0.693
"disjoint edge"            2.265
"loop freedom"                     1.347
"blackhole"                0.721


"Round 5"                      "Time (ms)"
"forwarding graph"       0.913
"disjoint edge"            1.72
"loop freedom"                     1.222
"blackhole"                0.322


"Round 6"                      "Time (ms)"
"forwarding graph"       0.675
"disjoint edge"            1.684
"loop freedom"                     1.195
"blackhole"                0.297


"Round 7"                      "Time (ms)"
"forwarding graph"       0.667
"disjoint edge"            1.677
"loop freedom"                     1.347
"blackhole"                0.626


"Round 8"                      "Time (ms)"
"forwarding graph"       0.794
"disjoint edge"            1.595
"loop freedom"                     1.136
"blackhole"                0.325


"Round 9"                      "Time (ms)"
"forwarding graph"       0.784
"disjoint edge"            1.884
"loop freedom"                     1.22
"blackhole"                0.312


"Round 10"                      "Time (ms)"
"forwarding graph"       0.675
"disjoint edge"            1.666
"loop freedom"                     1.293
"blackhole"                0.295


"Round 11"                      "Time (ms)"
"forwarding graph"       0.676
"disjoint edge"            2.322
"loop freedom"                     1.518
"blackhole"                0.516


"Round 12"                      "Time (ms)"
"forwarding graph"       0.909
"disjoint edge"            1.811
"loop freedom"                     1.21
"blackhole"                0.323


"Round 13"                      "Time (ms)"
"forwarding graph"       0.672
"disjoint edge"            1.651
"loop freedom"                     1.182
"blackhole"                0.301


"Round 14"                      "Time (ms)"
"forwarding graph"       0.674
"disjoint edge"            1.655
"loop freedom"                     1.196
"blackhole"                0.289


"Round 15"                      "Time (ms)"
"forwarding graph"       0.669
"disjoint edge"            1.645
"loop freedom"                     1.286
"blackhole"                0.329


"Round 16"                      "Time (ms)"
"forwarding graph"       0.714
"disjoint edge"            1.659
"loop freedom"                     1.377
"blackhole"                0.328


"Round 17"                      "Time (ms)"
"forwarding graph"       0.888
"disjoint edge"            3.18
"loop freedom"                     4.278
"blackhole"                0.723


"Round 18"                      "Time (ms)"
"forwarding graph"       0.897
"disjoint edge"            1.942
"loop freedom"                     1.22
"blackhole"                0.322


"Round 19"                      "Time (ms)"
"forwarding graph"       0.673
"disjoint edge"            1.671
"loop freedom"                     1.256
"blackhole"                0.298


"Round 20"                      "Time (ms)"
"forwarding graph"       0.672
"disjoint edge"            1.669
"loop freedom"                     1.136
"blackhole"                0.4


"Round 21"                      "Time (ms)"
"forwarding graph"       0.915
"disjoint edge"            1.679
"loop freedom"                     1.208
"blackhole"                0.333


"Round 22"                      "Time (ms)"
"forwarding graph"       0.678
"disjoint edge"            1.715
"loop freedom"                     1.215
"blackhole"                0.305


"Round 23"                      "Time (ms)"
"forwarding graph"       0.669
"disjoint edge"            1.657
"loop freedom"                     1.2
"blackhole"                0.297


"Round 24"                      "Time (ms)"
"forwarding graph"       0.672
"disjoint edge"            1.659
"loop freedom"                     1.432
"blackhole"                0.762


"Round 25"                      "Time (ms)"
"forwarding graph"       1.199
"disjoint edge"            2.807
"loop freedom"                     1.976
"blackhole"                0.35


"Round 26"                      "Time (ms)"
"forwarding graph"       0.676
"disjoint edge"            1.698
"loop freedom"                     1.217
"blackhole"                0.305


"Round 27"                      "Time (ms)"
"forwarding graph"       0.667
"disjoint edge"            1.657
"loop freedom"                     1.391
"blackhole"                0.35


"Round 28"                      "Time (ms)"
"forwarding graph"       0.82
"disjoint edge"            2.306
"loop freedom"                     1.605
"blackhole"                0.386


"Round 29"                      "Time (ms)"
"forwarding graph"       0.694
"disjoint edge"            1.679
"loop freedom"                     1.203
"blackhole"                0.298


"Round 30"                      "Time (ms)"
"forwarding graph"       0.666
"disjoint edge"            1.663
"loop freedom"                     1.188
"blackhole"                0.288


"Round 31"                      "Time (ms)"
"forwarding graph"       0.669
"disjoint edge"            1.65
"loop freedom"                     1.188
"blackhole"                0.289


"Round 32"                      "Time (ms)"
"forwarding graph"       0.691
"disjoint edge"            1.761
"loop freedom"                     1.192
"blackhole"                0.293


"Round 33"                      "Time (ms)"
"forwarding graph"       0.665
"disjoint edge"            1.886
"loop freedom"                     2.082
"blackhole"                0.487


"Round 34"                      "Time (ms)"
"forwarding graph"       1.194
"disjoint edge"            1.776
"loop freedom"                     1.225
"blackhole"                0.312


"Round 35"                      "Time (ms)"
"forwarding graph"       0.722
"disjoint edge"            2.227
"loop freedom"                     1.457
"blackhole"                0.637


"Round 36"                      "Time (ms)"
"forwarding graph"       0.72
"disjoint edge"            1.678
"loop freedom"                     1.224
"blackhole"                0.311


"Round 37"                      "Time (ms)"
"forwarding graph"       0.672
"disjoint edge"            1.946
"loop freedom"                     1.186
"blackhole"                0.297


"Round 38"                      "Time (ms)"
"forwarding graph"       0.674
"disjoint edge"            2.697
"loop freedom"                     2.759
"blackhole"                0.353


"Round 39"                      "Time (ms)"
"forwarding graph"       0.683
"disjoint edge"            1.668
"loop freedom"                     1.214
"blackhole"                0.297


"Round 40"                      "Time (ms)"
"forwarding graph"       0.671
"disjoint edge"            1.661
"loop freedom"                     1.2
"blackhole"                0.296


"Round 41"                      "Time (ms)"
"forwarding graph"       0.787
"disjoint edge"            3.169
"loop freedom"                     2.086
"blackhole"                0.469


"Round 42"                      "Time (ms)"
"forwarding graph"       1.197
"disjoint edge"            1.802
"loop freedom"                     1.223
"blackhole"                0.308


"Round 43"                      "Time (ms)"
"forwarding graph"       0.673
"disjoint edge"            1.874
"loop freedom"                     1.206
"blackhole"                0.31


"Round 44"                      "Time (ms)"
"forwarding graph"       0.67
"disjoint edge"            1.658
"loop freedom"                     1.187
"blackhole"                0.323


"Round 45"                      "Time (ms)"
"forwarding graph"       0.735
"disjoint edge"            2.153
"loop freedom"                     1.629
"blackhole"                0.473


"Round 46"                      "Time (ms)"
"forwarding graph"       0.703
"disjoint edge"            1.656
"loop freedom"                     2.635
"blackhole"                0.372


"Round 47"                      "Time (ms)"
"forwarding graph"       0.687
"disjoint edge"            1.668
"loop freedom"                     1.21
"blackhole"                0.299


"Round 48"                      "Time (ms)"
"forwarding graph"       0.711
"disjoint edge"            1.663
"loop freedom"                     1.171
"blackhole"                0.31


"Round 49"                      "Time (ms)"
"forwarding graph"       0.725
"disjoint edge"            2.833
"loop freedom"                     2.03
"blackhole"                0.445


"Round 50"                      "Time (ms)"
"forwarding graph"       1.152
"disjoint edge"            2.858
"loop freedom"                     1.894
"blackhole"                0.45


"Round 51"                      "Time (ms)"
"forwarding graph"       0.911
"disjoint edge"            2.243
"loop freedom"                     1.565
"blackhole"                0.473


"Round 52"                      "Time (ms)"
"forwarding graph"       0.945
"disjoint edge"            1.78
"loop freedom"                     1.217
"blackhole"                0.319


"Round 53"                      "Time (ms)"
"forwarding graph"       0.673
"disjoint edge"            1.661
"loop freedom"                     1.197
"blackhole"                0.297


"Round 54"                      "Time (ms)"
"forwarding graph"       0.674
"disjoint edge"            1.666
"loop freedom"                     1.202
"blackhole"                0.297


"Round 55"                      "Time (ms)"
"forwarding graph"       0.67
"disjoint edge"            1.656
"loop freedom"                     1.212
"blackhole"                0.3


"Round 56"                      "Time (ms)"
"forwarding graph"       0.67
"disjoint edge"            1.662
"loop freedom"                     1.184
"blackhole"                0.296


"Round 57"                      "Time (ms)"
"forwarding graph"       0.671
"disjoint edge"            1.708
"loop freedom"                     1.225
"blackhole"                0.318


"Round 58"                      "Time (ms)"
"forwarding graph"       0.72
"disjoint edge"            1.744
"loop freedom"                     2.28
"blackhole"                0.381


"Round 59"                      "Time (ms)"
"forwarding graph"       0.683
"disjoint edge"            1.651
"loop freedom"                     1.16
"blackhole"                0.407


"Round 60"                      "Time (ms)"
"forwarding graph"       0.684
"disjoint edge"            1.663
"loop freedom"                     1.222
"blackhole"                0.303


"Round 61"                      "Time (ms)"
"forwarding graph"       0.668
"disjoint edge"            1.665
"loop freedom"                     1.303
"blackhole"                0.564


"Round 62"                      "Time (ms)"
"forwarding graph"       0.873
"disjoint edge"            2.556
"loop freedom"                     1.396
"blackhole"                0.322


"Round 63"                      "Time (ms)"
"forwarding graph"       0.676
"disjoint edge"            1.725
"loop freedom"                     1.218
"blackhole"                0.308


"Round 64"                      "Time (ms)"
"forwarding graph"       0.676
"disjoint edge"            1.662
"loop freedom"                     1.199
"blackhole"                0.295


"Round 65"                      "Time (ms)"
"forwarding graph"       0.67
"disjoint edge"            1.652
"loop freedom"                     1.196
"blackhole"                0.294


"Round 66"                      "Time (ms)"
"forwarding graph"       0.669
"disjoint edge"            1.658
"loop freedom"                     1.197
"blackhole"                0.297


"Round 67"                      "Time (ms)"
"forwarding graph"       0.667
"disjoint edge"            1.716
"loop freedom"                     2.072
"blackhole"                0.543


"Round 68"                      "Time (ms)"
"forwarding graph"       1.217
"disjoint edge"            1.837
"loop freedom"                     1.388
"blackhole"                0.48


"Round 69"                      "Time (ms)"
"forwarding graph"       0.934
"disjoint edge"            2.475
"loop freedom"                     1.254
"blackhole"                0.326


"Round 70"                      "Time (ms)"
"forwarding graph"       0.731
"disjoint edge"            1.672
"loop freedom"                     1.209
"blackhole"                0.301


"Round 71"                      "Time (ms)"
"forwarding graph"       0.672
"disjoint edge"            1.661
"loop freedom"                     1.198
"blackhole"                0.296


"Round 72"                      "Time (ms)"
"forwarding graph"       0.751
"disjoint edge"            1.671
"loop freedom"                     1.194
"blackhole"                0.3


"Round 73"                      "Time (ms)"
"forwarding graph"       0.671
"disjoint edge"            1.659
"loop freedom"                     1.197
"blackhole"                0.296


"Round 74"                      "Time (ms)"
"forwarding graph"       0.672
"disjoint edge"            1.662
"loop freedom"                     1.197
"blackhole"                0.299


"Round 75"                      "Time (ms)"
"forwarding graph"       0.665
"disjoint edge"            1.666
"loop freedom"                     1.434
"blackhole"                0.693


"Round 76"                      "Time (ms)"
"forwarding graph"       1.188
"disjoint edge"            2.717
"loop freedom"                     1.957
"blackhole"                0.353


"Round 77"                      "Time (ms)"
"forwarding graph"       0.787
"disjoint edge"            1.675
"loop freedom"                     1.209
"blackhole"                0.311


"Round 78"                      "Time (ms)"
"forwarding graph"       0.674
"disjoint edge"            1.668
"loop freedom"                     1.192
"blackhole"                0.318


"Round 79"                      "Time (ms)"
"forwarding graph"       0.672
"disjoint edge"            1.981
"loop freedom"                     1.463
"blackhole"                3.354


"Round 80"                      "Time (ms)"
"forwarding graph"       1.137
"disjoint edge"            1.771
"loop freedom"                     1.232
"blackhole"                0.35


"Round 81"                      "Time (ms)"
"forwarding graph"       0.668
"disjoint edge"            1.676
"loop freedom"                     1.21
"blackhole"                0.304


"Round 82"                      "Time (ms)"
"forwarding graph"       0.67
"disjoint edge"            1.655
"loop freedom"                     1.202
"blackhole"                0.286


"Round 83"                      "Time (ms)"
"forwarding graph"       0.674
"disjoint edge"            1.653
"loop freedom"                     1.199
"blackhole"                0.399


"Round 84"                      "Time (ms)"
"forwarding graph"       1.46
"disjoint edge"            2.778
"loop freedom"                     1.846
"blackhole"                0.412


"Round 85"                      "Time (ms)"
